LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,,Labor Force,Employed,Unemployed,Unemployment Rate
CN0100100000000,1,1,"Autauga County, AL",2014,,"25,597","24,097","1,500",5.9
CN0100300000000,1,3,"Baldwin County, AL",2014,,"86,400","81,084","5,316",6.2
CN0100500000000,1,5,"Barbour County, AL",2014,,"8,849","7,913",936,10.6
CN0100700000000,1,7,"Bibb County, AL",2014,,"8,560","7,942",618,7.2
CN0100900000000,1,9,"Blount County, AL",2014,,"24,532","23,023","1,509",6.2
CN0101100000000,1,11,"Bullock County, AL",2014,,"4,733","4,314",419,8.9
CN0101300000000,1,13,"Butler County, AL",2014,,"9,272","8,477",795,8.6
CN0101500000000,1,15,"Calhoun County, AL",2014,,"47,240","43,467","3,773",8
CN0101700000000,1,17,"Chambers County, AL",2014,,"15,305","14,276","1,029",6.7
CN0101900000000,1,19,"Cherokee County, AL",2014,,"11,388","10,725",663,5.8
CN0102100000000,1,21,"Chilton County, AL",2014,,"19,099","17,899","1,200",6.3
CN0102300000000,1,23,"Choctaw County, AL",2014,,"4,495","4,088",407,9.1
CN0102500000000,1,25,"Clarke County, AL",2014,,"8,157","7,161",996,12.2
CN0102700000000,1,27,"Clay County, AL",2014,,"5,514","5,117",397,7.2
CN0102900000000,1,29,"Cleburne County, AL",2014,,"5,855","5,467",388,6.6
CN0103100000000,1,31,"Coffee County, AL",2014,,"20,232","18,884","1,348",6.7
CN0103300000000,1,33,"Colbert County, AL",2014,,"24,030","22,034","1,996",8.3
CN0103500000000,1,35,"Conecuh County, AL",2014,,"4,718","4,229",489,10.4
CN0103700000000,1,37,"Coosa County, AL",2014,,"4,468","4,074",394,8.8
CN0103900000000,1,39,"Covington County, AL",2014,,"15,914","14,674","1,240",7.8
CN0104100000000,1,41,"Crenshaw County, AL",2014,,"6,298","5,862",436,6.9
CN0104300000000,1,43,"Cullman County, AL",2014,,"35,920","33,738","2,182",6.1
CN0104500000000,1,45,"Dale County, AL",2014,,"20,322","18,877","1,445",7.1
CN0104700000000,1,47,"Dallas County, AL",2014,,"16,010","14,203","1,807",11.3
CN0104900000000,1,49,"DeKalb County, AL",2014,,"28,952","26,955","1,997",6.9
CN0105100000000,1,51,"Elmore County, AL",2014,,"36,550","34,455","2,095",5.7
CN0105300000000,1,53,"Escambia County, AL",2014,,"14,369","13,215","1,154",8
CN0105500000000,1,55,"Etowah County, AL",2014,,"43,730","40,639","3,091",7.1
CN0105700000000,1,57,"Fayette County, AL",2014,,"6,351","5,851",500,7.9
CN0105900000000,1,59,"Franklin County, AL",2014,,"13,719","12,654","1,065",7.8
CN0106100000000,1,61,"Geneva County, AL",2014,,"10,794","10,071",723,6.7
CN0106300000000,1,63,"Greene County, AL",2014,,"2,987","2,613",374,12.5
CN0106500000000,1,65,"Hale County, AL",2014,,"6,035","5,437",598,9.9
CN0106700000000,1,67,"Henry County, AL",2014,,"6,778","6,268",510,7.5
CN0106900000000,1,69,"Houston County, AL",2014,,"45,161","42,080","3,081",6.8
CN0107100000000,1,71,"Jackson County, AL",2014,,"23,453","21,744","1,709",7.3
CN0107300000000,1,73,"Jefferson County, AL",2014,,"312,201","292,502","19,699",6.3
CN0107500000000,1,75,"Lamar County, AL",2014,,"5,626","5,232",394,7
CN0107700000000,1,77,"Lauderdale County, AL",2014,,"43,482","40,346","3,136",7.2
CN0107900000000,1,79,"Lawrence County, AL",2014,,"14,025","12,867","1,158",8.3
CN0108100000000,1,81,"Lee County, AL",2014,,"71,372","67,359","4,013",5.6
CN0108300000000,1,83,"Limestone County, AL",2014,,"39,585","37,162","2,423",6.1
CN0108500000000,1,85,"Lowndes County, AL",2014,,"3,874","3,376",498,12.9
CN0108700000000,1,87,"Macon County, AL",2014,,"8,239","7,486",753,9.1
CN0108900000000,1,89,"Madison County, AL",2014,,"170,117","159,573","10,544",6.2
CN0109100000000,1,91,"Marengo County, AL",2014,,"7,626","7,015",611,8
CN0109300000000,1,93,"Marion County, AL",2014,,"12,292","11,317",975,7.9
CN0109500000000,1,95,"Marshall County, AL",2014,,"39,911","37,240","2,671",6.7
CN0109700000000,1,97,"Mobile County, AL",2014,,"185,324","170,957","14,367",7.8
CN0109900000000,1,99,"Monroe County, AL",2014,,"7,618","6,773",845,11.1
CN0110100000000,1,101,"Montgomery County, AL",2014,,"105,027","97,798","7,229",6.9
CN0110300000000,1,103,"Morgan County, AL",2014,,"56,042","52,335","3,707",6.6
CN0110500000000,1,105,"Perry County, AL",2014,,"3,491","3,066",425,12.2
CN0110700000000,1,107,"Pickens County, AL",2014,,"7,761","7,124",637,8.2
CN0110900000000,1,109,"Pike County, AL",2014,,"14,951","13,846","1,105",7.4
CN0111100000000,1,111,"Randolph County, AL",2014,,"9,276","8,650",626,6.7
CN0111300000000,1,113,"Russell County, AL",2014,,"24,771","23,146","1,625",6.6
CN0111500000000,1,115,"St. Clair County, AL",2014,,"38,520","36,288","2,232",5.8
CN0111700000000,1,117,"Shelby County, AL",2014,,"107,224","102,399","4,825",4.5
CN0111900000000,1,119,"Sumter County, AL",2014,,"5,374","4,916",458,8.5
CN0112100000000,1,121,"Talladega County, AL",2014,,"35,390","32,638","2,752",7.8
CN0112300000000,1,123,"Tallapoosa County, AL",2014,,"18,425","17,035","1,390",7.5
CN0112500000000,1,125,"Tuscaloosa County, AL",2014,,"97,086","91,323","5,763",5.9
CN0112700000000,1,127,"Walker County, AL",2014,,"25,748","23,714","2,034",7.9
CN0112900000000,1,129,"Washington County, AL",2014,,"6,656","6,015",641,9.6
CN0113100000000,1,131,"Wilcox County, AL",2014,,"2,866","2,379",487,17
CN0113300000000,1,133,"Winston County, AL",2014,,"9,633","8,802",831,8.6
CN0201300000000,2,13,"Aleutians East Borough, AK",2014,,"2,229","2,128",101,4.5
CN0201600000000,2,16,"Aleutians West Census Area, AK",2014,,"4,482","4,267",215,4.8
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2014,,"158,302","150,070","8,232",5.2
CN0205000000000,2,50,"Bethel Census Area, AK",2014,,"7,315","6,140","1,175",16.1
CN0206000000000,2,60,"Bristol Bay Borough, AK",2014,,498,458,40,8
CN0206800000000,2,68,"Denali Borough, AK",2014,,"1,074",963,111,10.3
CN0207000000000,2,70,"Dillingham Census Area, AK",2014,,"2,122","1,909",213,10
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2014,,"46,859","44,157","2,702",5.8
CN0210000000000,2,100,"Haines Borough, AK",2014,,"1,114",995,119,10.7
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2014,,"1,142",969,173,15.1
CN0211000000000,2,110,"Juneau Borough/city, AK",2014,,"17,484","16,602",882,5
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2014,,"27,993","25,797","2,196",7.8
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2014,,"7,111","6,557",554,7.8
CN0215000000000,2,150,"Kodiak Island Borough, AK",2014,,"6,591","6,217",374,5.7
CN0215800000000,2,158,"Kusilvak Census Area, AK",2014,,"2,832","2,158",674,23.8
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2014,,645,540,105,16.3
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2014,,"44,947","41,331","3,616",8
CN0218000000000,2,180,"Nome Census Area, AK",2014,,"4,129","3,622",507,12.3
CN0218500000000,2,185,"North Slope Borough, AK",2014,,"4,354","4,097",257,5.9
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2014,,"3,010","2,498",512,17
CN0219500000000,2,195,"Petersburg Borough, AK",2014,,"1,586","1,435",151,9.5
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",2014,,"2,840","2,461",379,13.3
CN0222000000000,2,220,"Sitka Borough/city, AK",2014,,"4,689","4,450",239,5.1
CN0223000000000,2,230,"Skagway Municipality, AK",2014,,806,710,96,11.9
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2014,,"2,924","2,538",386,13.2
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2014,,"4,890","4,419",471,9.6
CN0227500000000,2,275,"Wrangell Borough/city, AK",2014,,"1,063",973,90,8.5
CN0228200000000,2,282,"Yakutat Borough/city, AK",2014,,274,247,27,9.9
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2014,,"2,588","2,098",490,18.9
CN0400100000000,4,1,"Apache County, AZ",2014,,"21,183","17,859","3,324",15.7
CN0400300000000,4,3,"Cochise County, AZ",2014,,"50,857","46,611","4,246",8.3
CN0400500000000,4,5,"Coconino County, AZ",2014,,"72,052","66,931","5,121",7.1
CN0400700000000,4,7,"Gila County, AZ",2014,,"21,376","19,602","1,774",8.3
CN0400900000000,4,9,"Graham County, AZ",2014,,"14,427","13,346","1,081",7.5
CN0401100000000,4,11,"Greenlee County, AZ",2014,,"4,711","4,406",305,6.5
CN0401200000000,4,12,"La Paz County, AZ",2014,,"7,946","7,339",607,7.6
CN0401300000000,4,13,"Maricopa County, AZ",2014,,"1,959,391","1,845,391","114,000",5.8
CN0401500000000,4,15,"Mohave County, AZ",2014,,"78,340","71,507","6,833",8.7
CN0401700000000,4,17,"Navajo County, AZ",2014,,"41,625","37,011","4,614",11.1
CN0401900000000,4,19,"Pima County, AZ",2014,,"462,438","434,486","27,952",6
CN0402100000000,4,21,"Pinal County, AZ",2014,,"153,617","142,784","10,833",7.1
CN0402300000000,4,23,"Santa Cruz County, AZ",2014,,"20,267","17,643","2,624",12.9
CN0402500000000,4,25,"Yavapai County, AZ",2014,,"95,533","89,536","5,997",6.3
CN0402700000000,4,27,"Yuma County, AZ",2014,,"93,347","71,959","21,388",22.9
CN0500100000000,5,1,"Arkansas County, AR",2014,,"9,374","8,864",510,5.4
CN0500300000000,5,3,"Ashley County, AR",2014,,"8,399","7,611",788,9.4
CN0500500000000,5,5,"Baxter County, AR",2014,,"15,834","14,763","1,071",6.8
CN0500700000000,5,7,"Benton County, AR",2014,,"114,304","108,970","5,334",4.7
CN0500900000000,5,9,"Boone County, AR",2014,,"15,513","14,573",940,6.1
CN0501100000000,5,11,"Bradley County, AR",2014,,"4,117","3,767",350,8.5
CN0501300000000,5,13,"Calhoun County, AR",2014,,"2,344","2,188",156,6.7
CN0501500000000,5,15,"Carroll County, AR",2014,,"12,423","11,771",652,5.2
CN0501700000000,5,17,"Chicot County, AR",2014,,"3,817","3,412",405,10.6
CN0501900000000,5,19,"Clark County, AR",2014,,"9,432","8,766",666,7.1
CN0502100000000,5,21,"Clay County, AR",2014,,"6,355","5,851",504,7.9
CN0502300000000,5,23,"Cleburne County, AR",2014,,"9,656","8,847",809,8.4
CN0502500000000,5,25,"Cleveland County, AR",2014,,"3,423","3,187",236,6.9
CN0502700000000,5,27,"Columbia County, AR",2014,,"9,450","8,765",685,7.2
CN0502900000000,5,29,"Conway County, AR",2014,,"8,513","7,899",614,7.2
CN0503100000000,5,31,"Craighead County, AR",2014,,"49,011","46,301","2,710",5.5
CN0503300000000,5,33,"Crawford County, AR",2014,,"26,549","24,937","1,612",6.1
CN0503500000000,5,35,"Crittenden County, AR",2014,,"21,236","19,646","1,590",7.5
CN0503700000000,5,37,"Cross County, AR",2014,,"8,022","7,505",517,6.4
CN0503900000000,5,39,"Dallas County, AR",2014,,"2,852","2,583",269,9.4
CN0504100000000,5,41,"Desha County, AR",2014,,"5,501","5,051",450,8.2
CN0504300000000,5,43,"Drew County, AR",2014,,"7,913","7,237",676,8.5
CN0504500000000,5,45,"Faulkner County, AR",2014,,"58,483","55,186","3,297",5.6
CN0504700000000,5,47,"Franklin County, AR",2014,,"7,219","6,804",415,5.7
CN0504900000000,5,49,"Fulton County, AR",2014,,"4,756","4,477",279,5.9
CN0505100000000,5,51,"Garland County, AR",2014,,"39,957","37,393","2,564",6.4
CN0505300000000,5,53,"Grant County, AR",2014,,"8,144","7,693",451,5.5
CN0505500000000,5,55,"Greene County, AR",2014,,"19,446","18,196","1,250",6.4
CN0505700000000,5,57,"Hempstead County, AR",2014,,"9,833","9,237",596,6.1
CN0505900000000,5,59,"Hot Spring County, AR",2014,,"13,846","13,033",813,5.9
CN0506100000000,5,61,"Howard County, AR",2014,,"6,136","5,775",361,5.9
CN0506300000000,5,63,"Independence County, AR",2014,,"15,340","14,129","1,211",7.9
CN0506500000000,5,65,"Izard County, AR",2014,,"4,871","4,500",371,7.6
CN0506700000000,5,67,"Jackson County, AR",2014,,"6,135","5,562",573,9.3
CN0506900000000,5,69,"Jefferson County, AR",2014,,"29,236","26,647","2,589",8.9
CN0507100000000,5,71,"Johnson County, AR",2014,,"10,200","9,523",677,6.6
CN0507300000000,5,73,"Lafayette County, AR",2014,,"2,638","2,429",209,7.9
CN0507500000000,5,75,"Lawrence County, AR",2014,,"7,019","6,504",515,7.3
CN0507700000000,5,77,"Lee County, AR",2014,,"3,224","2,975",249,7.7
CN0507900000000,5,79,"Lincoln County, AR",2014,,"4,175","3,875",300,7.2
CN0508100000000,5,81,"Little River County, AR",2014,,"5,491","5,127",364,6.6
CN0508300000000,5,83,"Logan County, AR",2014,,"8,993","8,448",545,6.1
CN0508500000000,5,85,"Lonoke County, AR",2014,,"32,432","30,752","1,680",5.2
CN0508700000000,5,87,"Madison County, AR",2014,,"6,901","6,563",338,4.9
CN0508900000000,5,89,"Marion County, AR",2014,,"6,474","6,062",412,6.4
CN0509100000000,5,91,"Miller County, AR",2014,,"19,189","18,057","1,132",5.9
CN0509300000000,5,93,"Mississippi County, AR",2014,,"18,903","17,139","1,764",9.3
CN0509500000000,5,95,"Monroe County, AR",2014,,"3,064","2,855",209,6.8
CN0509700000000,5,97,"Montgomery County, AR",2014,,"3,318","3,050",268,8.1
CN0509900000000,5,99,"Nevada County, AR",2014,,"3,648","3,424",224,6.1
CN0510100000000,5,101,"Newton County, AR",2014,,"3,331","3,134",197,5.9
CN0510300000000,5,103,"Ouachita County, AR",2014,,"9,862","9,064",798,8.1
CN0510500000000,5,105,"Perry County, AR",2014,,"4,192","3,864",328,7.8
CN0510700000000,5,107,"Phillips County, AR",2014,,"7,163","6,466",697,9.7
CN0510900000000,5,109,"Pike County, AR",2014,,"4,167","3,857",310,7.4
CN0511100000000,5,111,"Poinsett County, AR",2014,,"10,008","9,306",702,7
CN0511300000000,5,113,"Polk County, AR",2014,,"8,378","7,845",533,6.4
CN0511500000000,5,115,"Pope County, AR",2014,,"29,335","27,474","1,861",6.3
CN0511700000000,5,117,"Prairie County, AR",2014,,"3,777","3,556",221,5.9
CN0511900000000,5,119,"Pulaski County, AR",2014,,"182,788","172,579","10,209",5.6
CN0512100000000,5,121,"Randolph County, AR",2014,,"6,491","5,971",520,8
CN0512300000000,5,123,"St. Francis County, AR",2014,,"8,897","8,113",784,8.8
CN0512500000000,5,125,"Saline County, AR",2014,,"54,083","51,429","2,654",4.9
CN0512700000000,5,127,"Scott County, AR",2014,,"4,499","4,269",230,5.1
CN0512900000000,5,129,"Searcy County, AR",2014,,"2,966","2,775",191,6.4
CN0513100000000,5,131,"Sebastian County, AR",2014,,"56,638","53,377","3,261",5.8
CN0513300000000,5,133,"Sevier County, AR",2014,,"5,739","5,332",407,7.1
CN0513500000000,5,135,"Sharp County, AR",2014,,"5,915","5,408",507,8.6
CN0513700000000,5,137,"Stone County, AR",2014,,"4,658","4,298",360,7.7
CN0513900000000,5,139,"Union County, AR",2014,,"16,426","15,195","1,231",7.5
CN0514100000000,5,141,"Van Buren County, AR",2014,,"6,396","5,872",524,8.2
CN0514300000000,5,143,"Washington County, AR",2014,,"109,089","104,260","4,829",4.4
CN0514500000000,5,145,"White County, AR",2014,,"34,157","31,718","2,439",7.1
CN0514700000000,5,147,"Woodruff County, AR",2014,,"3,139","2,896",243,7.7
CN0514900000000,5,149,"Yell County, AR",2014,,"8,949","8,438",511,5.7
CN0600100000000,6,1,"Alameda County, CA",2014,,"812,827","765,645","47,182",5.8
CN0600300000000,6,3,"Alpine County, CA",2014,,513,471,42,8.2
CN0600500000000,6,5,"Amador County, CA",2014,,"14,432","13,236","1,196",8.3
CN0600700000000,6,7,"Butte County, CA",2014,,"101,831","93,044","8,787",8.6
CN0600900000000,6,9,"Calaveras County, CA",2014,,"20,363","18,736","1,627",8
CN0601100000000,6,11,"Colusa County, CA",2014,,"11,149","9,213","1,936",17.4
CN0601300000000,6,13,"Contra Costa County, CA",2014,,"542,777","509,363","33,414",6.2
CN0601500000000,6,15,"Del Norte County, CA",2014,,"9,989","8,985","1,004",10.1
CN0601700000000,6,17,"El Dorado County, CA",2014,,"88,421","82,266","6,155",7
CN0601900000000,6,19,"Fresno County, CA",2014,,"440,789","389,842","50,947",11.6
CN0602100000000,6,21,"Glenn County, CA",2014,,"12,876","11,507","1,369",10.6
CN0602300000000,6,23,"Humboldt County, CA",2014,,"62,732","58,558","4,174",6.7
CN0602500000000,6,25,"Imperial County, CA",2014,,"78,674","59,814","18,860",24
CN0602700000000,6,27,"Inyo County, CA",2014,,"9,266","8,635",631,6.8
CN0602900000000,6,29,"Kern County, CA",2014,,"394,795","353,781","41,014",10.4
CN0603100000000,6,31,"Kings County, CA",2014,,"57,773","50,901","6,872",11.9
CN0603300000000,6,33,"Lake County, CA",2014,,"29,453","26,824","2,629",8.9
CN0603500000000,6,35,"Lassen County, CA",2014,,"10,881","9,892",989,9.1
CN0603700000000,6,37,"Los Angeles County, CA",2014,,"5,025,850","4,611,509","414,341",8.2
CN0603900000000,6,39,"Madera County, CA",2014,,"62,163","55,212","6,951",11.2
CN0604100000000,6,41,"Marin County, CA",2014,,"139,613","133,669","5,944",4.3
CN0604300000000,6,43,"Mariposa County, CA",2014,,"8,136","7,425",711,8.7
CN0604500000000,6,45,"Mendocino County, CA",2014,,"40,620","37,783","2,837",7
CN0604700000000,6,47,"Merced County, CA",2014,,"114,974","100,248","14,726",12.8
CN0604900000000,6,49,"Modoc County, CA",2014,,"3,386","3,039",347,10.2
CN0605100000000,6,51,"Mono County, CA",2014,,"8,289","7,706",583,7
CN0605300000000,6,53,"Monterey County, CA",2014,,"218,985","199,216","19,769",9
CN0605500000000,6,55,"Napa County, CA",2014,,"73,838","69,668","4,170",5.6
CN0605700000000,6,57,"Nevada County, CA",2014,,"48,130","44,982","3,148",6.5
CN0605900000000,6,59,"Orange County, CA",2014,,"1,578,158","1,491,776","86,382",5.5
CN0606100000000,6,61,"Placer County, CA",2014,,"176,501","165,469","11,032",6.3
CN0606300000000,6,63,"Plumas County, CA",2014,,"8,146","7,208",938,11.5
CN0606500000000,6,65,"Riverside County, CA",2014,,"1,016,965","933,791","83,174",8.2
CN0606700000000,6,67,"Sacramento County, CA",2014,,"683,031","633,261","49,770",7.3
CN0606900000000,6,69,"San Benito County, CA",2014,,"29,341","26,609","2,732",9.3
CN0607100000000,6,71,"San Bernardino County, CA",2014,,"910,660","837,932","72,728",8
CN0607300000000,6,73,"San Diego County, CA",2014,,"1,549,796","1,450,330","99,466",6.4
CN0607500000000,6,75,"San Francisco County/city, CA",2014,,"531,709","508,518","23,191",4.4
CN0607700000000,6,77,"San Joaquin County, CA",2014,,"313,845","280,846","32,999",10.5
CN0607900000000,6,79,"San Luis Obispo County, CA",2014,,"141,048","133,208","7,840",5.6
CN0608100000000,6,81,"San Mateo County, CA",2014,,"429,417","411,359","18,058",4.2
CN0608300000000,6,83,"Santa Barbara County, CA",2014,,"219,079","205,717","13,362",6.1
CN0608500000000,6,85,"Santa Clara County, CA",2014,,"995,702","944,511","51,191",5.1
CN0608700000000,6,87,"Santa Cruz County, CA",2014,,"143,142","130,634","12,508",8.7
CN0608900000000,6,89,"Shasta County, CA",2014,,"75,304","68,076","7,228",9.6
CN0609100000000,6,91,"Sierra County, CA",2014,,"1,421","1,278",143,10.1
CN0609300000000,6,93,"Siskiyou County, CA",2014,,"18,108","16,104","2,004",11.1
CN0609500000000,6,95,"Solano County, CA",2014,,"203,964","188,654","15,310",7.5
CN0609700000000,6,97,"Sonoma County, CA",2014,,"257,590","243,217","14,373",5.6
CN0609900000000,6,99,"Stanislaus County, CA",2014,,"241,972","214,995","26,977",11.1
CN0610100000000,6,101,"Sutter County, CA",2014,,"44,543","38,921","5,622",12.6
CN0610300000000,6,103,"Tehama County, CA",2014,,"25,229","22,808","2,421",9.6
CN0610500000000,6,105,"Trinity County, CA",2014,,"5,200","4,710",490,9.4
CN0610700000000,6,107,"Tulare County, CA",2014,,"199,302","173,175","26,127",13.1
CN0610900000000,6,109,"Tuolumne County, CA",2014,,"21,702","19,828","1,874",8.6
CN0611100000000,6,111,"Ventura County, CA",2014,,"432,628","403,915","28,713",6.6
CN0611300000000,6,113,"Yolo County, CA",2014,,"102,842","95,107","7,735",7.5
CN0611500000000,6,115,"Yuba County, CA",2014,,"28,056","24,918","3,138",11.2
CN0800100000000,8,1,"Adams County, CO",2014,,"246,215","232,155","14,060",5.7
CN0800300000000,8,3,"Alamosa County, CO",2014,,"7,548","7,006",542,7.2
CN0800500000000,8,5,"Arapahoe County, CO",2014,,"332,801","316,557","16,244",4.9
CN0800700000000,8,7,"Archuleta County, CO",2014,,"5,751","5,409",342,5.9
CN0800900000000,8,9,"Baca County, CO",2014,,"1,934","1,881",53,2.7
CN0801100000000,8,11,"Bent County, CO",2014,,"1,658","1,572",86,5.2
CN0801300000000,8,13,"Boulder County, CO",2014,,"177,043","169,807","7,236",4.1
CN0801400000000,8,14,"Broomfield County/city, CO",2014,,"34,343","32,893","1,450",4.2
CN0801500000000,8,15,"Chaffee County, CO",2014,,"8,426","8,058",368,4.4
CN0801700000000,8,17,"Cheyenne County, CO",2014,,976,948,28,2.9
CN0801900000000,8,19,"Clear Creek County, CO",2014,,"5,543","5,287",256,4.6
CN0802100000000,8,21,"Conejos County, CO",2014,,"3,626","3,344",282,7.8
CN0802300000000,8,23,"Costilla County, CO",2014,,"1,617","1,470",147,9.1
CN0802500000000,8,25,"Crowley County, CO",2014,,"1,321","1,244",77,5.8
CN0802700000000,8,27,"Custer County, CO",2014,,"1,989","1,897",92,4.6
CN0802900000000,8,29,"Delta County, CO",2014,,"13,655","12,702",953,7
CN0803100000000,8,31,"Denver County/city, CO",2014,,"370,579","352,792","17,787",4.8
CN0803300000000,8,33,"Dolores County, CO",2014,,"1,335","1,283",52,3.9
CN0803500000000,8,35,"Douglas County, CO",2014,,"170,037","163,220","6,817",4
CN0803700000000,8,37,"Eagle County, CO",2014,,"32,550","31,193","1,357",4.2
CN0803900000000,8,39,"Elbert County, CO",2014,,"13,022","12,467",555,4.3
CN0804100000000,8,41,"El Paso County, CO",2014,,"308,141","289,683","18,458",6
CN0804300000000,8,43,"Fremont County, CO",2014,,"14,602","13,404","1,198",8.2
CN0804500000000,8,45,"Garfield County, CO",2014,,"31,314","29,676","1,638",5.2
CN0804700000000,8,47,"Gilpin County, CO",2014,,"3,467","3,315",152,4.4
CN0804900000000,8,49,"Grand County, CO",2014,,"8,974","8,613",361,4
CN0805100000000,8,51,"Gunnison County, CO",2014,,"9,722","9,329",393,4
CN0805300000000,8,53,"Hinsdale County, CO",2014,,436,420,16,3.7
CN0805500000000,8,55,"Huerfano County, CO",2014,,"2,423","2,181",242,10
CN0805700000000,8,57,"Jackson County, CO",2014,,839,809,30,3.6
CN0805900000000,8,59,"Jefferson County, CO",2014,,"309,122","295,067","14,055",4.5
CN0806100000000,8,61,"Kiowa County, CO",2014,,756,730,26,3.4
CN0806300000000,8,63,"Kit Carson County, CO",2014,,"4,333","4,201",132,3
CN0806500000000,8,65,"Lake County, CO",2014,,"4,528","4,318",210,4.6
CN0806700000000,8,67,"La Plata County, CO",2014,,"30,064","28,797","1,267",4.2
CN0806900000000,8,69,"Larimer County, CO",2014,,"177,950","170,378","7,572",4.3
CN0807100000000,8,71,"Las Animas County, CO",2014,,"6,456","5,970",486,7.5
CN0807300000000,8,73,"Lincoln County, CO",2014,,"2,144","2,057",87,4.1
CN0807500000000,8,75,"Logan County, CO",2014,,"11,050","10,631",419,3.8
CN0807700000000,8,77,"Mesa County, CO",2014,,"73,543","68,989","4,554",6.2
CN0807900000000,8,79,"Mineral County, CO",2014,,426,405,21,4.9
CN0808100000000,8,81,"Moffat County, CO",2014,,"7,341","6,919",422,5.7
CN0808300000000,8,83,"Montezuma County, CO",2014,,"12,716","11,944",772,6.1
CN0808500000000,8,85,"Montrose County, CO",2014,,"19,362","18,049","1,313",6.8
CN0808700000000,8,87,"Morgan County, CO",2014,,"14,878","14,196",682,4.6
CN0808900000000,8,89,"Otero County, CO",2014,,"8,008","7,397",611,7.6
CN0809100000000,8,91,"Ouray County, CO",2014,,"2,143","2,021",122,5.7
CN0809300000000,8,93,"Park County, CO",2014,,"9,401","8,969",432,4.6
CN0809500000000,8,95,"Phillips County, CO",2014,,"2,263","2,189",74,3.3
CN0809700000000,8,97,"Pitkin County, CO",2014,,"11,077","10,539",538,4.9
CN0809900000000,8,99,"Prowers County, CO",2014,,"5,755","5,485",270,4.7
CN0810100000000,8,101,"Pueblo County, CO",2014,,"72,658","67,352","5,306",7.3
CN0810300000000,8,103,"Rio Blanco County, CO",2014,,"2,954","2,779",175,5.9
CN0810500000000,8,105,"Rio Grande County, CO",2014,,"4,843","4,398",445,9.2
CN0810700000000,8,107,"Routt County, CO",2014,,"14,454","13,853",601,4.2
CN0810900000000,8,109,"Saguache County, CO",2014,,"3,020","2,756",264,8.7
CN0811100000000,8,111,"San Juan County, CO",2014,,477,452,25,5.2
CN0811300000000,8,113,"San Miguel County, CO",2014,,"4,944","4,711",233,4.7
CN0811500000000,8,115,"Sedgwick County, CO",2014,,"1,091","1,041",50,4.6
CN0811700000000,8,117,"Summit County, CO",2014,,"20,175","19,496",679,3.4
CN0811900000000,8,119,"Teller County, CO",2014,,"11,637","10,957",680,5.8
CN0812100000000,8,121,"Washington County, CO",2014,,"2,659","2,575",84,3.2
CN0812300000000,8,123,"Weld County, CO",2014,,"146,108","139,584","6,524",4.5
CN0812500000000,8,125,"Yuma County, CO",2014,,"4,982","4,817",165,3.3
CN0900100000000,9,1,"Fairfield County, CT",2014,,"476,881","447,374","29,507",6.2
CN0900300000000,9,3,"Hartford County, CT",2014,,"472,559","440,174","32,385",6.9
CN0900500000000,9,5,"Litchfield County, CT",2014,,"105,388","99,133","6,255",5.9
CN0900700000000,9,7,"Middlesex County, CT",2014,,"91,893","86,731","5,162",5.6
